Series ID;FXRUSD;FXRTWI;FXRCR;FXRJY;FXREUR;FXRSKW;FXRUKPS;FXRSD;FXRIRE;FXRTB;FXRNZD;FXRNTD;FXRMR;FXRIR;FXRVD;FXRHKD;FXRCD;FXRSF;FXRSDR
31/12/2021;0.7256;61.1;4.625;83.52;0.6411;862.67;0.5376;0.9799;53.9;24.24;1.0628;20.08;3.0301;10359;16536;5.6584;0.9245;0.6632;0.5184
04/01/2022;0.7211;60.8;4.5949;83.5;0.6381;860.89;0.5353;0.9769;53.78;24.03;1.0617;19.89;3.0149;10317;16419;5.6218;0.918;0.6621;0.5147
05/01/2022;0.7232;61;4.6083;83.93;0.6406;866.86;0.5347;0.9809;53.88;24.01;1.0631;19.98;3.0309;10385;16449;5.636;0.9196;0.6628;0.5178
06/01/2022;0.7177;60.6;4.5767;83.17;0.6344;860.85;0.5306;0.9756;53.39;23.99;1.0617;19.83;3.0167;10333;16332;5.5969;0.9181;0.6588;0.5129
07/01/2022;0.7162;60.5;4.5664;83.02;0.6337;861.08;0.5287;0.9737;53.2;24.05;1.0606;19.82;3.0102;10282;16281;5.5861;0.9104;0.6599;0.5122
10/01/2022;0.7193;60.7;4.5848;83.3;0.6346;863.38;0.5295;0.975;53.32;24.23;1.0625;19.93;3.022;10303;16317;5.6085;0.9095;0.6619;0.5144
11/01/2022;0.7186;60.5;4.5778;82.82;0.6336;858.26;0.5287;0.9731;53.12;24.09;1.0614;19.9;3.0138;10272;16323;5.6034;0.9093;0.6657;0.5133
12/01/2022;0.7218;60.7;4.5946;83.29;0.6347;858.68;0.5293;0.9751;53.36;24.11;1.063;19.97;3.0189;10322;16388;5.6276;0.9061;0.6665;0.5154
13/01/2022;0.7291;61.2;4.6381;83.53;0.6372;866.1;0.5316;0.9814;53.91;24.22;1.0628;20.16;3.0473;10432;16545;5.6807;0.9111;0.6668;0.5201
14/01/2022;0.7283;61;4.6311;82.84;0.6347;864.32;0.5305;0.9796;53.95;24.2;1.0617;20.12;3.0441;10427;16540;5.6719;0.9104;0.663;0.5175
17/01/2022;0.7207;60.5;4.5741;82.46;0.6311;859.51;0.5269;0.9719;53.47;23.98;1.0595;19.86;3.015;10320;16371;5.6119;0.9038;0.6589;0.5119
18/01/2022;0.7195;60.4;4.5648;82.64;0.631;855.9;0.5275;0.9699;53.51;23.77;1.0614;19.83;3.0095;10311;16390;5.6066;0.9007;0.6583;0.5111
19/01/2022;0.7188;60.4;4.5653;82.21;0.6344;856.46;0.5283;0.9706;53.67;23.86;1.0597;19.87;3.0132;10328;16338;5.6007;0.8986;0.6586;0.5121
20/01/2022;0.7238;60.8;4.5914;82.83;0.6377;861.63;0.5312;0.975;53.8;23.86;1.0698;20.01;3.0298;10392;16407;5.6383;0.9044;0.6626;0.5161
21/01/2022;0.7192;60.4;4.5616;81.83;0.6351;859.04;0.5291;0.9682;53.59;23.78;1.0686;19.93;3.0102;10320;16279;5.6011;0.9009;0.6585;0.5129
24/01/2022;0.718;60.3;4.547;81.79;0.6338;857.16;0.5296;0.9654;53.5;23.74;1.0685;19.89;3.0048;10285;16259;5.5909;0.9017;0.6561;0.5121
25/01/2022;0.7133;59.9;4.5148;81.12;0.6306;855.37;0.5294;0.9585;53.28;23.6;1.0691;19.77;2.9873;10243;16163;5.553;0.9026;0.653;0.5092
27/01/2022;0.7082;59.8;4.4949;81.2;0.631;851.89;0.5271;0.9566;53.28;23.51;1.0719;19.71;2.9759;10186;16039;5.517;0.9001;0.6547;0.5059
28/01/2022;0.7028;59.4;4.4676;81.11;0.6303;848.01;0.5242;0.9509;52.75;23.37;1.0686;19.55;2.944;10096;15918;5.4754;0.8949;0.6538;0.5049
31/01/2022;0.7011;59.3;4.4598;80.97;0.6281;845.46;0.5226;0.9507;52.56;23.45;1.0683;19.5;2.9369;10094;15889;5.4672;0.893;0.6529;0.5041
